q,n,rho,v2,reps,denominator,coverage,mcse,failures,conditional_coverage,scaled_log_q025,scaled_log_q50,scaled_log_q975,scaled_log_q025_mcse,scaled_log_q50_mcse,scaled_log_q975_mcse,scaled_log_sd,tail_lower,tail_upper,delta_coverage,delta_mcse,corrected_normal_coverage,pit_KS,transport_minus_delta,paired_mcse
4,50,0.0,1.0,50000,SN,0.95204,0.0009556132941729097,0,0.95204,-16.895245584543545,-4.495841919590122,7.112497286920667,0.08075886553946228,0.0349105830515362,0.07507464240167001,6.144580048441279,0.02466,0.0233,0.87542,0.0014768874269896132,0.9518,0.003655893201071625,0.07662,0.0014947348248582197
4,50,0.0,1.0,50000,stable,0.95202,0.0009558024858724737,0,0.95202,-16.727068384495606,-4.333301696224632,7.2809299398270575,0.08709126909656056,0.033229576501207767,0.0786471874556719,6.139706380211557,0.02466,0.02332,0.88094,0.0014483419237182914,0.95202,0.003483507316782819,0.07108,0.0014614360704142204
4,50,0.0,1e-06,50000,SN,0.95204,0.0009556132941729097,0,0.95204,-16.89524558454356,-4.495841919590111,7.112497286920643,0.08075886553946712,0.03491058305153426,0.07507464240167125,6.14458004844128,0.02466,0.0233,0.87542,0.0014768874269896132,0.9518,0.0036558932010739564,0.07662,0.0014947348248582197
4,50,0.0,1e-06,50000,stable,0.95202,0.0009558024858724737,0,0.95202,-16.72706838449549,-4.3333016962245665,7.280929939827078,0.08709126909656624,0.03322957650121107,0.07864718745566943,6.139706380211557,0.02466,0.02332,0.88094,0.0014483419237182914,0.95202,0.0034835073167954755,0.07108,0.0014614360704142204
4,50,0.5,1.0,50000,SN,0.95204,0.0009556132941729097,0,0.95204,-16.895245584543545,-4.495841919590122,7.112497286920665,0.08075886553946215,0.034910583051536284,0.0750746424016699,6.14458004844128,0.02466,0.0233,0.87542,0.0014768874269896132,0.9518,0.003655893201071625,0.07662,0.0014947348248582197
4,50,0.5,1.0,50000,stable,0.94842,0.000989136023001892,0,0.94842,-16.952652055946494,-4.3275708450626365,7.425410311045709,0.08917258952299864,0.02787371399475467,0.07718108991788766,6.224592440916333,0.02668,0.0249,0.88028,0.0014518066097108115,0.94842,0.004839881012825342,0.06814,0.0014632777014745469
4,50,0.5,1e-06,50000,SN,0.95204,0.0009556132941729097,0,0.95204,-16.895245584543524,-4.495841919590092,7.112497286920574,0.08075886553946847,0.034910583051534494,0.07507464240166543,6.14458004844128,0.02466,0.0233,0.87542,0.0014768874269896132,0.9518,0.0036558932010750667,0.07662,0.0014947348248582197
4,50,0.5,1e-06,50000,stable,0.94842,0.000989136023001892,0,0.94842,-16.952652055946245,-4.3275708450627,7.425410311045634,0.08917258952299387,0.027873713994751824,0.0771810899178885,6.224592440916333,0.02668,0.0249,0.88028,0.0014518066097108115,0.94842,0.004839881012841274,0.06814,0.0014632777014745469
4,50,0.9,1.0,50000,SN,0.95204,0.0009556132941729097,0,0.95204,-16.89524558454354,-4.4958419195901245,7.112497286920653,0.08075886553946171,0.03491058305153653,0.07507464240167035,6.144580048441278,0.02466,0.0233,0.87542,0.0014768874269896132,0.9518,0.003655893201071181,0.07662,0.0014947348248582197
4,50,0.9,1.0,50000,stable,0.94224,0.001043300363270329,0,0.94224,-17.291392070906976,-4.325039417287841,7.782863956816603,0.09478515391335951,0.03277802705385095,0.0718475574230851,6.421545014374323,0.0293,0.02846,0.88322,0.0014362620345883964,0.94186,0.012213282553860588,0.05902,0.001455051592041571
4,50,0.9,1e-06,50000,SN,0.95204,0.0009556132941729097,0,0.95204,-16.89524558454364,-4.495841919589839,7.112497286920556,0.08075886553947156,0.034910583051541696,0.07507464240166385,6.14458004844128,0.02466,0.0233,0.87542,0.0014768874269896132,0.9518,0.003655893201055971,0.07662,0.0014947348248582197
4,50,0.9,1e-06,50000,stable,0.94224,0.001043300363270329,0,0.94224,-17.291392070907015,-4.325039417287858,7.782863956816562,0.09478515391336487,0.03277802705385727,0.07184755742308192,6.421545014374323,0.0293,0.02846,0.88322,0.0014362620345883964,0.94186,0.01221328255386131,0.05902,0.001455051592041571
4,50,0.99,1.0,50000,SN,0.95204,0.0009556132941729097,0,0.95204,-16.895245584543567,-4.495841919590002,7.1124972869204965,0.08075886553945852,0.03491058305153456,0.07507464240166946,6.144580048441278,0.02466,0.0233,0.87542,0.0014768874269896132,0.9518,0.003655893201061744,0.07662,0.0014947348248582197
4,50,0.99,1.0,50000,stable,0.93898,0.0010704817569673942,0,0.93898,-17.409758252610608,-4.2987743281824695,7.915457836808281,0.09803282658756565,0.035784236331365495,0.07202159477201117,6.482227450480879,0.03104,0.02998,0.88374,0.0014334825593637337,0.93928,0.013998445515321228,0.05524,0.0014510041200007412
4,50,0.99,1e-06,50000,SN,0.95204,0.0009556132941729097,0,0.95204,-16.895245584544682,-4.495841919589503,7.112497286920964,0.08075886553947187,0.03491058305152969,0.07507464240166853,6.144580048441281,0.02466,0.0233,0.87542,0.0014768874269896132,0.9518,0.0036558932011042655,0.07662,0.0014947348248582197
4,50,0.99,1e-06,50000,stable,0.93898,0.0010704817569673942,0,0.93898,-17.409758252610597,-4.29877432818238,7.915457836808266,0.09803282658756587,0.03578423633136673,0.07202159477200801,6.48222745048088,0.03104,0.02998,0.88374,0.0014334825593637337,0.93928,0.013998445515322921,0.05524,0.0014510041200007412
4,200,0.0,1.0,50000,SN,0.9491,0.0009829464888792263,0,0.9491,-14.246358907476404,-2.2065169254709573,9.559567985040063,0.0782480492881917,0.03569034528456088,0.0566876103506462,6.05943052243502,0.02546,0.02544,0.931,0.0011334813628816308,0.94922,0.00405190855430948,0.0181,0.0009933113979768212
4,200,0.0,1.0,50000,stable,0.94906,0.0009833119179588946,0,0.94906,-14.159283825956512,-2.132045563507244,9.63680450639144,0.07384180117605307,0.037030242983660755,0.05944751057469614,6.05863686566432,0.02544,0.0255,0.93222,0.0011241518723019586,0.94898,0.004080826552250283,0.01684,0.0009785435294092845
4,200,0.0,1e-06,50000,SN,0.9491,0.0009829464888792263,0,0.9491,-14.246358907476425,-2.2065169254710284,9.55956798504013,0.07824804928819348,0.035690345284563676,0.05668761035064004,6.0594305224350204,0.02546,0.02544,0.931,0.0011334813628816308,0.94922,0.004051908554312589,0.0181,0.0009933113979768212
4,200,0.0,1e-06,50000,stable,0.94906,0.0009833119179588946,0,0.94906,-14.159283825956564,-2.1320455635073063,9.636804506391387,0.07384180117605306,0.037030242983657605,0.05944751057470071,6.058636865664321,0.02544,0.0255,0.93222,0.0011241518723019586,0.94898,0.004080826552262606,0.01684,0.0009785435294092845
4,200,0.5,1.0,50000,SN,0.9491,0.0009829464888792263,0,0.9491,-14.2463589074764,-2.2065169254709587,9.55956798504006,0.0782480492881916,0.035690345284560894,0.05668761035064599,6.05943052243502,0.02546,0.02544,0.931,0.0011334813628816308,0.94922,0.004051908554309258,0.0181,0.0009933113979768212
