experiment,r,n,rho,reps,denominator,coverage,mcse,failures,conditional_coverage,scaled_log_q025,scaled_log_q50,scaled_log_q975,scaled_log_q025_mcse,scaled_log_q50_mcse,scaled_log_q975_mcse,scaled_log_sd,tail_lower,tail_upper,delta_coverage,delta_mcse,corrected_normal_coverage,pit_KS,transport_minus_delta,paired_mcse
block,1,50,0.0,50000,SN,0.95052,0.0009698631821035375,0,0.95052,-4.558716074361628,-0.4005704449723696,3.381922247773126,0.021997872807296336,0.013772276469978594,0.026619970587563907,2.0291065981419663,0.02516,0.02432,0.94142,0.0010502226773403817,0.95008,0.004230632971178316,0.0091,0.0008061989823461593
block,1,50,0.0,50000,stable,0.95032,0.0009717190705136948,0,0.95032,-4.3668214783600305,-0.2536347791267088,3.532670978554257,0.019765174008580993,0.014783910875393194,0.024739750772327544,2.0187696520255054,0.02478,0.0249,0.94764,0.0009961769963214365,0.95062,0.004348851119944097,0.00268,0.0006990465830847803
block,1,50,0.5,50000,SN,0.95052,0.0009698631821035375,0,0.95052,-4.558716074361631,-0.40057044497236866,3.3819222477731223,0.021997872807296388,0.013772276469978681,0.02661997058756399,2.0291065981419663,0.02516,0.02432,0.94142,0.0010502226773403817,0.95008,0.004230632971177817,0.0091,0.0008061989823461593
block,1,50,0.5,50000,stable,0.92216,0.0011981730626249283,0,0.92216,-4.82296088568032,-0.25512820833201555,3.997186788084404,0.021581549253227337,0.016264859116271325,0.029359753164088002,2.253179925507085,0.03728,0.04056,0.94452,0.0010237379508448437,0.92282,0.02888930445975124,-0.02236,0.0008121661161831398
block,1,50,0.9,50000,SN,0.95052,0.0009698631821035375,0,0.95052,-4.558716074361629,-0.40057044497236904,3.3819222477731086,0.02199787280729664,0.013772276469978936,0.02661997058756438,2.0291065981419663,0.02516,0.02432,0.94142,0.0010502226773403817,0.95008,0.00423063297117704,0.0091,0.0008061989823461593
block,1,50,0.9,50000,stable,0.85576,0.0015712085946811775,0,0.85576,-5.7930014601423,-0.21676206497635953,4.821658469290995,0.028373843308966605,0.014256763819902762,0.035283899134053345,2.7088982669428185,0.06982,0.07442,0.94514,0.0010183357049617775,0.85648,0.07483257474673755,-0.08938,0.001275874942593271
block,1,50,0.99,50000,SN,0.95052,0.0009698631821035375,0,0.95052,-4.558716074361491,-0.4005704449725151,3.3819222477730584,0.02199787280729499,0.01377227646997584,0.02661997058756741,2.0291065981419663,0.02516,0.02432,0.94142,0.0010502226773403817,0.95008,0.004230632971153003,0.0091,0.0008061989823461593
block,1,50,0.99,50000,stable,0.83726,0.0016507918851266503,0,0.83726,-6.099028091816305,-0.21404796507768326,5.028867761326344,0.033336542233456196,0.012835133801718529,0.03285184729537725,2.8369788746642572,0.0793,0.08344,0.94702,0.001001729700068836,0.83852,0.0858711822471917,-0.10976,0.0013979606338801812
block,1,200,0.0,50000,SN,0.94946,0.0009796500232225796,0,0.94946,-4.238956341262792,-0.18253097199347798,3.6525303951142396,0.022450498054335844,0.011400977901654275,0.02002450710689939,2.00639565625082,0.02556,0.02498,0.94796,0.000993295911599358,0.95002,0.0028826078110947284,0.0015,0.0005723299321466812
block,1,200,0.0,50000,stable,0.95022,0.000972645378336833,0,0.95022,-4.1477291441300554,-0.11303558874213392,3.709565526234803,0.023658673891444347,0.011446677366442497,0.019955334886724383,2.0037052283227004,0.02522,0.02456,0.94968,0.00097762873934843,0.95052,0.0031133828374975137,0.00054,0.0004935575346206352
block,1,200,0.5,50000,SN,0.94946,0.0009796500232225796,0,0.94946,-4.238956341262791,-0.1825309719934814,3.6525303951142396,0.022450498054335834,0.01140097790165417,0.020024507106899285,2.00639565625082,0.02556,0.02498,0.94796,0.000993295911599358,0.95002,0.0028826078110939513,0.0015,0.0005723299321466812
