experiment,r,n,rho,reps,denominator,coverage,mcse,failures,conditional_coverage,scaled_log_q025,scaled_log_q50,scaled_log_q975,scaled_log_q025_mcse,scaled_log_q50_mcse,scaled_log_q975_mcse,scaled_log_sd,tail_lower,tail_upper,delta_coverage,delta_mcse,corrected_normal_coverage,pit_KS,transport_minus_delta,paired_mcse
block,3,50,0.0,50000,precision_reciprocal,0.9484,0.000989317340391848,0,0.9484,-4.044189547883331,-0.8502673679157109,1.9076443948606803,0.018250870352822753,0.008683083917215907,0.016588423457237232,1.513513218704032,0.02606,0.02554,0.8837,0.00143369669037771,0.94906,0.004934678912324186,0.0647,0.001443855911924001
block,3,50,0.5,50000,precision_reciprocal,0.94896,0.0009842247548197513,0,0.94896,-4.021322376262501,-0.8574794667156389,1.9124779302501886,0.017134749743667556,0.008951734972047152,0.011708213915460999,1.5150949595249974,0.02542,0.02562,0.88398,0.0014321966317513808,0.94998,0.0046756139050263545,0.06498,0.0014413859801839608
block,3,50,0.9,50000,precision_reciprocal,0.95,0.0009746794344808968,0,0.95,-3.9941570417023833,-0.8630207721816383,1.910455159967423,0.018624680946051644,0.00999007735342491,0.016348418701441762,1.5121497213362491,0.02452,0.02548,0.88402,0.0014319821200001067,0.95068,0.004301355289199782,0.06598,0.001446849909110544
block,3,50,0.99,50000,precision_reciprocal,0.95044,0.0009706060622106175,0,0.95044,-3.991059333664527,-0.8535638176187528,1.9018678123639599,0.014888712589561084,0.00918844460812615,0.019278952927073368,1.5101639958072992,0.02444,0.02512,0.88636,0.0014193375243401406,0.95074,0.005189085988365094,0.06408,0.001435658836327728
block,3,200,0.0,50000,precision_reciprocal,0.95254,0.0009508685334997678,0,0.95254,-3.2528842299139007,-0.39985610369675506,2.308252202973124,0.01685016052644667,0.008356772802606183,0.015096839384454091,1.425986200022736,0.02284,0.02462,0.93744,0.001083016587130594,0.95288,0.005384213628060686,0.0151,0.0009251253521217232
block,3,200,0.5,50000,precision_reciprocal,0.95162,0.0009595767358580551,0,0.95162,-3.278182203555135,-0.39596961135703007,2.322703386046297,0.01861214617350755,0.007851871474850586,0.012833923199318212,1.42676053076455,0.02308,0.0253,0.93818,0.0010770170620746915,0.95156,0.004266131511314275,0.01344,0.0009271485965531101
block,3,200,0.9,50000,precision_reciprocal,0.95108,0.0009646432874384186,0,0.95108,-3.271909891943186,-0.40230651773033665,2.333711708876289,0.0151262418854041,0.008328070510566169,0.014678476557251546,1.4286145614842591,0.02314,0.02578,0.9381,0.001077667759562287,0.9511,0.004517530990654606,0.01298,0.0009257686173934925
block,3,200,0.99,50000,precision_reciprocal,0.95086,0.0009666980955810347,0,0.95086,-3.2789724004284544,-0.40352734328027073,2.325671151993104,0.01735963505127976,0.007354045892154551,0.017299038182976602,1.4306197561294158,0.02364,0.0255,0.93716,0.0010852753973070615,0.95074,0.004504927913226431,0.0137,0.0009229643748621856
block,3,1000,0.0,50000,precision_reciprocal,0.95038,0.0009711627628775724,0,0.95038,-2.9922931767682175,-0.17528699195070957,2.555843317972085,0.015905095670465493,0.0082841767101969,0.018617573935006296,1.4120272103776992,0.02474,0.02488,0.94758,0.0009967160438158907,0.95024,0.004681666526927447,0.0028,0.0006104511880675311
block,3,1000,0.5,50000,precision_reciprocal,0.94978,0.0009767082635055366,0,0.94978,-3.0125380812368885,-0.1755467526727887,2.549942640201038,0.016241978194272425,0.007593222337216636,0.015053582755211398,1.4093826281637953,0.02556,0.02466,0.94776,0.0009950978082580622,0.95014,0.004427991786155466,0.00202,0.0005975998113375624
block,3,1000,0.9,50000,precision_reciprocal,0.95092,0.0009661382261353705,0,0.95092,-3.003224908922735,-0.16976237918901066,2.535057283827046,0.019147615533162486,0.007182621058918565,0.017932540045396288,1.4124526295568116,0.02504,0.02404,0.94826,0.0009905854067166547,0.95112,0.0041841108992080045,0.00266,0.0005881032267451914
block,3,1000,0.99,50000,precision_reciprocal,0.9507,0.0009681891344153787,0,0.9507,-2.997178564165962,-0.17045327506815183,2.545849218389606,0.01886669247278808,0.008335962813189017,0.016437256489681605,1.4163289914446466,0.0249,0.0244,0.94672,0.001004402724010643,0.95098,0.003793951773507831,0.00398,0.0006119564378398483
