replication,treatment_proxy,outcome_proxy,sandwich_F_D,proximal_estimate,design_rank
0,paco21,hema1,65.78954912689044,-1.2433103675548827,19
0,paco21,ph1,264.85848224332324,-1.3091498856152863,19
0,pafi1,hema1,19.576891593781276,-1.1487888741065633,19
0,pafi1,ph1,2.350683333237191,-1.3316742489510223,19
1,paco21,hema1,78.99684081336092,-1.2513308923379278,19
1,paco21,ph1,327.7265050460547,-1.4149470809536355,19
1,pafi1,hema1,36.338103413323374,-1.499357810706525,19
1,pafi1,ph1,7.818795582424322,-1.0920411195979325,19
2,paco21,hema1,56.650991857590505,-1.3269019161087414,19
2,paco21,ph1,269.1937117384836,-1.5513630689308227,19
2,pafi1,hema1,28.5650290856332,-1.5068717100650406,19
2,pafi1,ph1,1.3227960288221086,-1.4752193880075866,19
3,paco21,hema1,54.668424601689416,-0.8729122334345528,19
3,paco21,ph1,383.0313333791167,-1.041113345847973,19
3,pafi1,hema1,25.798461379199857,-1.2899018115976009,19
3,pafi1,ph1,0.06230828553350985,-1.7654500124219823,19
4,paco21,hema1,69.23857596014706,-0.8506074373275707,18
4,paco21,ph1,246.17095086553988,-0.9972429404980837,18
4,pafi1,hema1,16.59850152111137,-1.0606327368682162,18
4,pafi1,ph1,0.07970702354956127,-1.2232276731810072,18
5,paco21,hema1,49.49183141506997,-1.5918210503869117,19
5,paco21,ph1,247.59460796793175,-1.6419189956220221,19
5,pafi1,hema1,16.307104284566712,-1.5998725303951398,19
5,pafi1,ph1,3.578583855917462,-1.7242346977738379,19
6,paco21,hema1,48.19039805810324,-1.0904846228295917,19
6,paco21,ph1,328.27332028085345,-1.5577972179711748,19
6,pafi1,hema1,18.729197606652928,-1.7477260597412743,19
6,pafi1,ph1,6.532763350659245,-1.5123312159278859,19
7,paco21,hema1,41.53537443487587,-0.9048391411860613,19
7,paco21,ph1,438.95802892085874,-1.3815888930830191,19
7,pafi1,hema1,15.643485302255423,-1.174817555938013,19
7,pafi1,ph1,3.768762640431942,-1.510157226532414,19
8,paco21,hema1,49.042007814250454,-1.3347337666071297,19
8,paco21,ph1,410.0058650397668,-1.432616008929229,19
8,pafi1,hema1,32.308106661982485,-1.4508566389314237,19
8,pafi1,ph1,6.019879214229547,-1.37809653122872,19
9,paco21,hema1,57.32313174776456,-0.7339265567487946,18
9,paco21,ph1,239.02275012880006,-1.1590210131959255,18
9,pafi1,hema1,18.75268871962392,-1.2652459162534562,18
9,pafi1,ph1,4.684505064089574,-0.777032583493325,18
10,paco21,hema1,49.75682743034729,-0.815155089504111,18
10,paco21,ph1,264.7380027032154,-0.9500870753760795,18
10,pafi1,hema1,37.5190394875625,-0.8431189008568296,18
10,pafi1,ph1,3.0242775434439895,-1.1132162663270728,18
11,paco21,hema1,56.251016898440035,-1.228501543645283,19
11,paco21,ph1,251.78407373756806,-1.265273835686928,19
11,pafi1,hema1,28.21674576758224,-1.445811856820581,19
11,pafi1,ph1,0.6703251568817742,-0.8910509840619485,19
12,paco21,hema1,40.0462491977488,-1.31199822972638,19
12,paco21,ph1,382.7109021313247,-1.4544294341965047,19
12,pafi1,hema1,33.17110848115825,-1.41200126519185,19
12,pafi1,ph1,2.657355607365762,-1.4668985878620884,19
13,paco21,hema1,34.53763897014598,-0.3952880444012046,19
13,paco21,ph1,361.1901007248439,-0.8543804871751158,19
13,pafi1,hema1,20.519873679183647,-0.9219622975299723,19
13,pafi1,ph1,9.524120937344215,-0.8426285143737229,19
14,paco21,hema1,72.17056912160174,-0.6119140268079747,19
14,paco21,ph1,311.78266858390225,-0.9267502489602132,19
14,pafi1,hema1,32.98214304493489,-1.3123906730992538,19
14,pafi1,ph1,0.03755217104261544,-7.008073874866031,19
15,paco21,hema1,64.80902012403094,-1.5507335525087782,19
15,paco21,ph1,396.50903704184293,-1.7640756596926717,19
15,pafi1,hema1,32.30456302008261,-1.8517039289057289,19
15,pafi1,ph1,4.695373529934373,-1.6240008518215352,19
16,paco21,hema1,50.83382701090519,-1.070904234037983,19
16,paco21,ph1,273.71803873317333,-1.3352015872568537,19
16,pafi1,hema1,29.37732980153242,-1.2430876738704049,19
16,pafi1,ph1,3.078936355629533,-1.412127962377634,19
17,paco21,hema1,79.5879381681074,-0.7618624312475133,19
17,paco21,ph1,471.79025248523163,-1.0524290858914356,19
17,pafi1,hema1,31.82077016721477,-1.2418223860453386,19
17,pafi1,ph1,9.923467979895612,-0.993783767933492,19
18,paco21,hema1,42.94724392352577,-1.3737449597581692,19
18,paco21,ph1,327.8826059615444,-1.73043649137184,19
18,pafi1,hema1,35.39331067281002,-1.5701192839506661,19
18,pafi1,ph1,0.16059435562186988,-2.953281779945856,19
19,paco21,hema1,55.32962775706726,-1.4705263547954763,19
19,paco21,ph1,233.8276598158928,-1.654153006239084,19
19,pafi1,hema1,12.064387682032482,-1.9109315648603906,19
19,pafi1,ph1,0.470286567673122,-1.4184496029769502,19
20,paco21,hema1,64.03486112847659,-0.7437173541737191,19
20,paco21,ph1,298.5701391990738,-1.028387298901494,19
20,pafi1,hema1,25.45866518376061,-1.1822076424799564,19
20,pafi1,ph1,4.007198301933706,-0.9764361939451889,19
21,paco21,hema1,59.35099695088235,-1.4480797228039315,19
21,paco21,ph1,301.91404821038356,-1.7109916151617903,19
21,pafi1,hema1,23.982573890266107,-1.9460160599770864,19
21,pafi1,ph1,4.442612490677719,-1.3509330609558796,19
22,paco21,hema1,33.77171541387918,-1.4493479810948882,19
22,paco21,ph1,339.9399532805819,-1.687682406777658,19
22,pafi1,hema1,9.7791733653168,-1.7154546596007585,19
